Title,Publication Year,Topic,Topic_Name,Topic_Probability,Abstract Note,DOI,Author
Pannel: Digital Transformation Impact on Society,2019,9,Topic_9_digital_innovation_literature,0.4930890224889271,"In this panel, we are going to discuss the impact of digital transformation will have on society. Digital technologies are rapidly and profoundly changing the world in promising and threatening ways. Technologies such as Big data, artificial intelligence, machine learning, blockchain, 3D promise to have a profoundly disruptive effect on the industry, business models, governance models and on the way we interact with each other in society. These unprecedented speed, scale and scope of change can provoke inequalities favoring world-s richest people become wealthier than ever and a social shock where people lose their old references and competences. Which influence the globalization, circular economy, sharing economy and climate change will have on this digital transformation - How they will shape it? (1) Left this transformation unmanaged, the technologies will shape us and in the age of artificial intelligence and biotechnologies, this can be very dangerous - How we can counteract it? (2) Norms and rules are needed on different domains and levels, strategies to respond to technologies dark side and risks, leaders must be more conscious of their acts and consequences on the environment and social stability - Can these measures help to achieve sustainable development? (3) The changes provoked by this digital transformation will affect governments, industry, and society as a whole - How governments shall design their e-Government and Smart Cities strategies to be better prepared? (4) How industry shall design its Industry 4.0 strategy to be better prepared? (5)",10.1109/ICEDEG.2019.8734405,N. Lopes; H. R. Rao; S. A. McKenna; S. Yang; E. Estevez; M. Nielsen
[Copyright notice],2015,-1,Outliers,0.008143966805758717,"The following topics are dealt with: complex system theory; nonlinear control system; complex network; distributed parameter systems; stability and stabilization; stochastic systems; system modeling and identification; hybrid systems and DEDS; discrete-time impulsive dynamical networks; optimal control; optimization and scheduling; robust control; adaptive control and learning control; variable structure control; neural networks; fuzzy system and fuzzy control; pattern recognition; predictive control; motion control; signal processing and information fusion; Big Data analysis and compressed sampling; navigation and missile guidance; control design; intelligent robots and mechatronic systems; fault diagnosis and reliable control; communication network systems; networked control systems; multiagent systems and distributed control; sensor networks and Internet of Things; energy control; automotive-vehicle systems control; data driven modeling; micro-nano and quantum systems; nature-inspired computing; transportation systems; systems biology and life systems; economy, finance, population and military systems; industrial systems and manufacturing; systems engineering theory; intelligent power system control; smart city; cloud computing; and game theory and social network.",10.1109/ChiCC.2015.7261090,
[Title page i],2015,-1,Outliers,0.008172128220158956,The following topics are dealt with: intelligent transportation; Big Data; smart city; social networks; electronic commerce; recommendation method; microgrids; supply chains; cloud computing; educational computing; crops; image processing; data security; urban planning; and employment.,10.1109/ICITBS.2015.1,
Program,2015,-1,Outliers,0.008136262269846081,The following topics are dealt with: smart city services; mobile sensing; smart grid; cloud-based sensing; resource management; networked security; digital forensics; smart transportation; operating system forensics; cloud service management; routing; multicast; Internet; network design; network optimization; network management; vehicular network; social networks; crowdsourcing; software-defined networking; overlay network; quality of service; quality of experience; resource management; signal processing; speech processing; image processing; video processing; fault tolerance; error recovery; sensor network; Big Data; data mining; database applications; grid computing; cluster computing; cryptography; privacy; wireless communication; cellular communication; radio physical layer; peer-to-peer computing; network reliability; optical networking; modeling and simulation; artificial intelligence; and bio-informatics.,10.1109/ISCC.2015.7405443,
Table of contents,2016,-1,Outliers,0.008225543976964749,"The following topics are dealt with: research and technologies for society and industry; adaptive computing systems; cultural heritage, smart city, and participatory process; smart emerging technologies; IoT and Big Data; and security and privacy.",10.1109/RTSI.2016.7740543,
Table of contents,2016,-1,Outliers,0.008200529187475235,The following topics are dealt with: intelligent transportation system; smart city infrastructure engineering; Big Data; Web application; city network; information logistics; e-commerce; information management; system engineering; control theory; and control engineering.,10.1109/ICITBS.2016.8,
Table of contents,2016,-1,Outliers,0.008193979173560097,The following topics are dealt with: smart city and well-being; and Big Data analytics.,10.1109/ICBDSC.2016.7460266,
[Front cover],2016,-1,Outliers,0.008172407234174534,The following topics are dealt with: data science; social networks; data analysis and security; smart city; heterogeneous information network analysis; big search; data visualization; Big Data privacy; business analytics; social recommendation systems; and open source Web data.,10.1109/DSC.2016.123,
[Title page i],2016,-1,Outliers,0.008179012520337552,The following topics are dealt with: big data computing; social networks; knowledge engineering; transportation; tourism; smart city; and healthcare services.,10.1109/BigDataService.2016.1,
Table of contents,2016,-1,Outliers,0.008158030894735095,The following topics are dealt with: data security; data privacy; big data; data mining; software defined networking; software development; e-learning; e-commerce; e-society; e-governance; smart city; databases; IoT; biomedics; and m-health.,10.1109/ICACCE.2016.8073707,
Table of content,2017,-1,Outliers,0.008164599267194643,The following topics are dealt with: big data analysis; Internet of Things; smart city; cloud computing; software defined networks; data security; data privacy; quality of service; and wireless communications.,10.1109/ISNCC.2017.8072040,
Table of contents,2017,-1,Outliers,0.008172420780424149,The following topics are dealt with: enterprise systems; Big Data; smart grid; health care; aging population; IIoT; industrial Internet of Things; cloud manufacturing; data analytics; smart city; human factors; ergonomics; indoor localization; and indoor navigation.,10.1109/ES.2017.4,
Table of contents,2017,-1,Outliers,0.008129001449649745,The following topics are dealt with: smart computing; deep learning; intelligent transportations; smart city; distributed smartness; cloud computing; data centers; wireless networks; protocols; mobile sensing; Big Data security; mobile social networks; and smart IoT services.,10.1109/SMARTCOMP.2017.7946957,
[Front cover],2017,-1,Outliers,0.008028933668452275,The following topics are dealt with: computer sciences; information technologies; project management; software metric analysis; innerlinking Web site pages; deformation processes; relaxation processes; Big Data mapping; fishing industry; risk management; fuzzy knowledge base; breast cancer diagnosis; oncology diagnosis; computing machines; Ukranian sign language; Internet content analysis; Arabic text classification; maritime container traffic; phonostatistical structures; English sonorant Phonene group; biological wastewater treatment; knowledge-oriented systems; gene expression sequences clustering; game theory; nonlinear physical systems; public transport; smart city; simulated annealing algorithm; company knowledge management system; wireless sensor networks; multi-dimensional data arrays; hybridized greedy-genetic algorithm; social networks; persuasive technologies; fuzzy neural networks; bankruptcy; vibrating processes; education informatics; image filtration; data analysis; data visualization; greenhouse gas emissions; Cyrillic handwritten font processing; home energy efficiency; production systems sustainable development; combinatorics; hypergraphs; pollution; knowledge extraction; machine learning; enterprise finance management; particle swarm optimization; Markov process; decision support system; risk management; electronic commerce; sentence parsing; keyword detection; tourism documentation; image segmentation; fire risk management; IoT; keyphrase extraction; robot vision; health social media analysis; and quality assurance software recommendations.,10.1109/STC-CSIT.2017.8098852,
