Topic,Words,Frequency,Timestamp,Name
-1,"data, big data, big, computing, systems",33,2014.989,-1_data_big_big data_management
1,"security, data, smart city, city, smart",3,2014.989,1_blockchain_security_data_privacy
3,"opinion, text, public, data, algorithms",1,2014.989,3_social_media_social media_public
4,"areas, health, especially, early, stages",1,2014.989,4_healthcare_health_data_medical
6,"smart, city, smart city, data, traffic",19,2014.989,6_smart_city_smart city_data
7,"energy, data, power, grid, platform",3,2014.989,7_energy_power_data_grid
8,"data, big, big data, government, open",22,2014.989,8_data_big_big data_government
9,"innovation, operational, literature, framework, business",6,2014.989,9_digital_innovation_literature_industry
-1,"data, big, big data, information, management",39,2015.917,-1_data_big_big data_management
0,"food, storage, delivery, chain, products",1,2015.917,0_agriculture_agricultural_food_technolo...
1,"privacy, data, cloud, scheme, security",6,2015.917,1_blockchain_security_data_privacy
2,"protection, data protection, regulation, data, consumer",3,2015.917,2_protection_privacy_law_data
3,"social, real, data, media, big",3,2015.917,3_social_media_social media_public
4,"health, india, medical, data, healthcare",4,2015.917,4_healthcare_health_data_medical
6,"smart, city, data, smart city, urban",29,2015.917,6_smart_city_smart city_data
7,"energy, system, cloud, data, government",1,2015.917,7_energy_power_data_grid
8,"data, big, big data, government, analytics",19,2015.917,8_data_big_big data_government
9,"innovation, digital, supply, chain, health",10,2015.917,9_digital_innovation_literature_industry
-1,"data, big, computing, big data, management",38,2016.833,-1_data_big_big data_management
0,"agriculture, information, storage, structure, agricultural",2,2016.833,0_agriculture_agricultural_food_technolo...
1,"data, security, privacy, blockchain, big",13,2016.833,1_blockchain_security_data_privacy
2,"protection, impact, data protection, personal, effects",1,2016.833,2_protection_privacy_law_data
3,"social, media, social media, public, opinion",9,2016.833,3_social_media_social media_public
4,"healthcare, data, analytics, predictive, model",3,2016.833,4_healthcare_health_data_medical
5,"topic, articles, ai, intellectual, clusters",1,2016.833,5_ai_artificial_artificial intelligence_...
6,"smart, city, data, smart city, urban",38,2016.833,6_smart_city_smart city_data
7,"energy, smart, care, power, data",2,2016.833,7_energy_power_data_grid
8,"data, big, big data, government, information",30,2016.833,8_data_big_big data_government
9,"management, design, theory, purpose, health",8,2016.833,9_digital_innovation_literature_industry
-1,"data, big, smart, big data, climate",33,2017.75,-1_data_big_big data_management
0,"agriculture, agricultural, information, data, which",3,2017.75,0_agriculture_agricultural_food_technolo...
1,"data, security, privacy, blockchain, big data",12,2017.75,1_blockchain_security_data_privacy
2,"information, cloud, security, protection, data",3,2017.75,2_protection_privacy_law_data
3,"social, media, social media, data, public",5,2017.75,3_social_media_social media_public
4,"disease, data, healthcare, big, big data",2,2017.75,4_healthcare_health_data_medical
5,"skills, technological, human, ai, professionals",1,2017.75,5_ai_artificial_artificial intelligence_...
6,"smart, city, data, smart city, cities",48,2017.75,6_smart_city_smart city_data
7,"energy, different, user, architecture, smart",2,2017.75,7_energy_power_data_grid
8,"data, big data, big, government, public",20,2017.75,8_data_big_big data_government
9,"digital, innovation, technologies, economy, industry",16,2017.75,9_digital_innovation_literature_industry
-1,"data, big, big data, de, government",64,2018.667,-1_data_big_big data_management
0,"agriculture, agricultural, data, marketing, technologies",4,2018.667,0_agriculture_agricultural_food_technolo...
1,"data, security, blockchain, smart, big",16,2018.667,1_blockchain_security_data_privacy
2,"eu, states, personal, data, protection",2,2018.667,2_protection_privacy_law_data
3,"social, public, opinion, data, media",6,2018.667,3_social_media_social media_public
4,"medical, healthcare, health, data, services",5,2018.667,4_healthcare_health_data_medical
6,"smart, city, smart city, data, urban",38,2018.667,6_smart_city_smart city_data
7,"energy, data, power, grid, system",7,2018.667,7_energy_power_data_grid
