Topic,Words,Frequency,Timestamp,Name
-1,"system, distribution, datasets, content, large",2,2014.99,-1_data_blockchain_technology_security
-1,"credit, trusted, data, reduce, address",5,2015.909,-1_data_blockchain_technology_security
0,"hash, verify, limitations, infrastructure, several",1,2015.909,0_data_blockchain_security_technology
1,"medical, patients, providers, data, healthcare",1,2015.909,1_healthcare_medical_health_data
-1,"data, blockchain, big, big data, information",26,2016.818,-1_data_blockchain_technology_security
0,"blockchain, data, iot, storage, system",10,2016.818,0_data_blockchain_security_technology
1,"medical, data, health, healthcare, sharing",3,2016.818,1_healthcare_medical_health_data
2,"ecommerce, business, digital, technologies, developed",4,2016.818,2_industry_technologies_digital_supply
6,"entities, bitcoin, according, dataset, four",1,2016.818,6_contracts_smart contracts_smart_detect...
8,"consensus, attacks, protocol, problems, still",1,2016.818,8_consensus_nodes_blockchain_node
9,"example, power, platform, energy, layer",1,2016.818,9_energy_power_grid_smart
11,"iot, wireless, network, devices, networks",1,2016.818,11_iot_devices_internet_things
-1,"data, blockchain, network, system, big",92,2017.727,-1_data_blockchain_technology_security
0,"blockchain, data, technology, security, system",54,2017.727,0_data_blockchain_security_technology
1,"medical, data, healthcare, health, patients",13,2017.727,1_healthcare_medical_health_data
2,"digital, ecommerce, platform, innovative, processing",6,2017.727,2_industry_technologies_digital_supply
3,"learning, machine, machine learning, data, model",10,2017.727,3_learning_federated_data_federated lear...
4,"education, parallel, difficult, issues, blockchain",1,2017.727,4_education_metaverse_educational_system
5,"find, production, data, often, global",1,2017.727,5_food_agriculture_agricultural_technolo...
6,"ethereum, contracts, smart contracts, smart, contract",7,2017.727,6_contracts_smart contracts_smart_detect...
7,"financial, fintech, banking, technologies, development",6,2017.727,7_financial_fintech_banking_finance
8,"consensus, blockchain, protocol, nodes, block",5,2017.727,8_consensus_nodes_blockchain_node
10,"vehicles, authentication, vehicle, security, privacy",2,2017.727,10_vehicles_vehicle_iov_scheme
12,"smart, technologies, relevant, building, sector",2,2017.727,12_smart_city_cities_smart city
