Title,Publication Year,Topic,Topic_Name,Topic_Probability,Abstract Note,DOI,Author
Big Data Value Chain: A Unified Approach for Integrated Data Quality and Security,2020,1,Topic_1_data_big_big data,0.7163932708205908,"Big Data has grown significantly in recent years. This growth has led organizations to adopt Big Data Value Chains (BDVC) as the appropriate framework for unlocking the value to make suitable decisions. Despite its promising opportunities, Big Data raises new concerns such as data quality and security that could radically impact the effectiveness of the BDVC. These two essential aspects have become an urgent need for any Big Data project to provide meaningful datasets and reliable insights. In this contribution, we highlight the importance of considering data quality and security requirements. Then, we propose a coherent, unified framework that extends BDVC with security and quality aspects. Through quality and security reports, the model can self-evaluate and arrange tasks according to orchestration and monitoring process, allowing the BDVC to evolve at the organization pace and to align strategically with its objectives as well as to federate a sustainable ecosystem.",10.1109/ICECOCS50124.2020.9314391,A. Z. Faroukhi; I. El Alaoui; Y. Gahi; A. Amine
A Comparative Perspective on Technologies of Big Data Value Chain,2023,1,Topic_1_data_big_big data,1.0,"Data is one of the most valuable assets in the digital era because it may conceal hidden valuable insights. Diverse organizations in diverse domains overcome the challenges of the big data value chain by employing a wide range of technologies to meet their needs and achieve a variety of goals to support their decision-making. Due to the significance of data-oriented technologies, this paper presents a model of the big data value chain based on technologies used in the acquisition, storage, and analysis of data. The following are the paper’s contributions: First, a model of the big data value chain is developed to illustrate a comprehensive representation of the big data value chain that depicts the relationships between the characteristics of big data and the technologies associated with each category. Second, in contrast to previous research, this paper presents an overview of technologies for each category of the big data value chain. The third contribution of this paper is to assist researchers and developers of data-intensive systems in selecting the appropriate technology for their specific application development use cases by providing examples of applications and use cases from prominent papers in a variety of fields and by describing the capabilities and stages of the technologies being presented so that the right technology is used at the right time in the big data collection, processing, storage, and analytics tasks.",10.1109/ACCESS.2023.3323160,A. A. Aydin
An Hybrid Approach to Quality Evaluation across Big Data Value Chain,2016,1,Topic_1_data_big_big data,0.750972164654855,"While the potential benefits of Big Data adoption are significant, and some initial successes have already been realized, there remain many research and technical challenges that must be addressed to fully realize this potential. The Big Data processing, storage and analytics, of course, are major challenges that are most easily recognized. However, there are additional challenges related for instance to Big Data collection, integration, and quality enforcement. This paper proposes a hybrid approach to Big Data quality evaluation across the Big Data value chain. It consists of assessing first the quality of Big Data itself, which involve processes such as cleansing, filtering and approximation. Then, assessing the quality of process handling this Big Data, which involve for example processing and analytics process. We conduct a set of experiments to evaluate Quality of Data prior and after its pre-processing, and the Quality of the pre-processing and processing on a large dataset. Quality metrics have been measured to access three Big Data quality dimensions: accuracy, completeness, and consistency. The results proved that combination of data-driven and process-driven quality evaluation lead to improved quality enforcement across the Big Data value chain. Hence, we recorded high prediction accuracy and low processing time after we evaluate 6 well-known classification algorithms as part of processing and analytics phase of Big Data value chain.",10.1109/BigDataCongress.2016.65,M. A. Serhani; H. T. El Kassabi; I. Taleb; A. Nujum
A Comprehensive Value Assessment Method for Energy Big Data Based on Data Value Chain,2024,-1,Outliers,0.26849196640126305,"Through the deep integration and intelligent analysis of energy big data, comprehensive perception, accurate prediction and optimization control of the energy system can be realized, but the problem of data value assessment has become one of the obstacles restricting the development of energy big data. This paper proposes a comprehensive value assessment method for energy big data based on the data value chain. It aims to construct a multi-dimensional assessment index system by comprehensively considering the value creation process of energy big data in data collection, processing, analysis and application. The core idea is to use the data value chain as a framework to decompose the value assessment of energy big data into multiple stages, and to design corresponding indicators for each stage, covering economic value, social value and environmental value, in order to comprehensively assess the integrated value of energy big data. The core idea is to use the data value chain as a framework to decompose the value assessment of energy big data into multiple stages and design corresponding indicators for each stage. It covers the aspects of economic value, social value and environmental value in order to comprehensively assess the comprehensive value of energy big data. And a case study is taken to prove the effectiveness of the proposed model, which provides a scientific basis for the effective use and value realization of energy big data.",10.1109/SGES63808.2024.10824114,S. Qi; D. Song; D. Zhang; L. Ju; Z. Zhang
Research on improved algorithm of logistics optimization based on big data,2023,3,Topic_3_industry_manufacturing_chain,0.6354923645012058,"As an important part of the modern service industry, the healthy development of the logistics industry has a very positive impact on improving the quality of the national economy and promoting the supply reform. With the arrival of the new economic era, the impact of the development of science and technology on logistics is deepening, the penetration speed is accelerating, and the competition between logistics industries is becoming increasingly fierce. For the logistics industry, in the face of endless new technologies, if you want to gain competitive advantage, you must improve the management level, especially the cost management level. In the information age, the goal of enterprise cost management should not be limited to the enterprise itself, but should be the cost management of the entire value chain. Therefore, it is of great significance to study the value chain management of logistics enterprises in the context of big data.",10.1109/BDICN58493.2023.00008,M. Xin; H. Zhu
A Multidimensional System Architecture Oriented to the Data Space of Manufacturing Enterprises,2021,3,Topic_3_industry_manufacturing_chain,0.5629070967882653,"The concept and characteristics of the data space model of manufacturing enterprises in various countries are expounded, and a multi-dimensional data system architecture oriented to the data space of manufacturing enterprises is proposed. The effective analysis and processing of big data in manufacturing enterprises can provide them with more effective model building, integrated retrieval and intelligent management strategies, so as to reduce costs and increase efficiency. A systematic overview of the data space of the entire system and the entire value chain of the manufacturing enterprises is carried out. First, the three dimensions of the business domain, the processing domain and the modal domain are clarified; secondly, the methods of applying data processing at each stage in each domain are explained; finally, the advantages and importance of the data model are summarized.",10.1109/ICCSS53909.2021.9722017,K. Lu; Z. Cheng; H. Ren; R. Lu
Towards Specification of a Software Architecture for Cross-Sectoral Big Data Applications,2019,1,Topic_1_data_big_big data,0.818911156711306,"The proliferation of Big Data applications puts pressure on improving and optimizing the handling of diverse datasets across different domains. Among several challenges, major difficulties arise in data-sensitive domains like banking, telecommunications, etc., where strict regulations make very difficult to upload and experiment with real data on external cloud resources. In addition, most Big Data research and development efforts aim to address the needs of IT experts, while Big Data analytics tools remain unavailable to non-expert users to a large extent. In this paper, we report on the work-in-progress carried out in the context of the H2020 project I-BiDaaS (Industrial-Driven Big Data as a Self-service Solution) which aims to address the above challenges. The project will design and develop a novel architecture stack that can be easily configured and adjusted to address cross-sectoral needs, helping to resolve data privacy barriers in sensitive domains, and at the same time being usable by non-experts. This paper discusses and motivates the need for Big Data as a self-service, reviews the relevant literature, and identifies gaps with respect to the challenges described above. We then present the I-BiDaaS paradigm for Big Data as a self-service, position it in the context of existing references, and report on initial work towards the conceptual specification of the I-BiDaaS software architecture.",10.1109/SERVICES.2019.00120,I. Arapakis; Y. Becerra; O. Boehm; G. Bravos; V. Chatzigiannakis; C. Cugnasco; G. Demetriou; I. Eleftheriou; J. Etienne Mascolo; L. Fodor; S. Ioannidis; D. Jakovetic; L. Kallipolitis; E. Kavakli; D. Kopanaki; N. Kourtellis; M. Maawad Marcos; R. Martin de Pozuelo; N. Milosevic; G. Morandi; E. Pages Montanera; G. Ristow; R. Sakellariou; R. Sirvent; S. Skrbic; I. Spais; G. Vasiliadis; M. Vinov
Multimodal Data Value Chain (M-DVC): A Conceptual Tool to Support the Development of Multimodal Learning Analytics Solutions,2020,-1,Outliers,0.16226848128533936,"Multimodal Learning Analytics (MMLA) systems, understood as those that exploit multimodal evidence of learning to better model a learning situation, have not yet spread widely in educational practice. Their inherent technical complexity, and the lack of educational stakeholder involvement in their design, are among the hypothesized reasons for the slow uptake of this emergent field. To aid in the process of stakeholder communication and systematization leading to the specification of MMLA systems, this paper proposes a Multimodal Data Value Chain (M-DVC). This conceptual tool, derived from both the field of Big Data and the needs of MMLA scenarios, has been evaluated in terms of its usefulness for stakeholders, in three authentic case studies of MMLA systems currently under development. The results of our mixed-methods evaluation highlight the usefulness of the M-DVC to elicit unspoken assumptions or unclear data processing steps in the initial stages of development. The evaluation also revealed limitations of the M-DVC in terms of the technical terminology employed, and the need for more detailed contextual information to be included. These limitations also prompt potential improvements for the M-DVC, on the path towards clearer specification and communication within the multi-disciplinary teams needed to build educationally-meaningful MMLA solutions.",10.1109/RITA.2020.2987887,S. K. Shankar; M. J. Rodríguez-Triana; A. Ruiz-Calleja; L. P. Prieto; P. Chejara; A. Martínez-Monés
Enterprise Definition for Industry 4.0,2018,3,Topic_3_industry_manufacturing_chain,1.0,"In the modern world of mining and manufacturing, it is pivotal for information to flow from the enterprise level, i.e., Business Intelligence (BI) and Enterprise Resource Planning (ERP), down to the shop floor. Information generated from the shop floor should conversely be shared with the enterprise level in real or semi real-time. Business partners should be integrated to form a value chain that self-adjusts, generates and shares information. The absence of real-time flow of information makes it difficult to inform business decisions. The introduction of Industry 4.0 yields the convergence of fragmented business systems and partners. This results in the seamless integration and communication in delivering premium operations. This paper proposes an architecture of a fully integrated enterprise. The architecture comprises systems from such levels as decision making, operations management, and shop floor. Big Data, Data Analytics, and Cyber Physical Systems (CPS) are harnessed to accomplish a 4th industrial revolution.",10.1109/IEEM.2018.8607642,A. Telukdarie; M. N. Sishi
To Find out High-Profit Zone From Industrial Value Chain Perspective in Big Data Era : Real Estate Sector as Case Study,2022,3,Topic_3_industry_manufacturing_chain,0.6974826814860474,"In the 21th century, economic competition takes place neither at corporate nor commercial mode level. Martin Christopher points out that the competition in the 21th century is not among enterprises, but between the supply chains behind each enterprise. An enterprise establishes an industrial value chain and competes against its counterpart who has its own industrial value chain. Also big data can offer new processing mode to generate decision making power, insight and discovery. For a good company, its assets and scale of operation should not be inevitable indicators because assets are bygone accumulation and profits serve as interim management performance. Future treasure can only be reflected by the value chain. Only under the guidance of value chain top-level design,together with mathematical modeling can a company finds out its high profit zone. And this shows that the company conducts strategic management in time-based competition stage.",10.1109/ICDSBA57203.2022.00103,X. Bao
