Topic,Words,Frequency,Timestamp,Name
1,"centralization, bitcoin, mining, due, reward",1,2014.989,1_bitcoin_cryptocurrency_cryptocurrencie...
-1,"previous, ownership, certificate, authorities, domain",1,2015.917,-1_financial_city_iot_smart city
0,"proliferation, smart devices, potential benefits, smart city, poses",1,2015.917,0_iot_devices_things_iot devices
-1,"currency, bitcoin, blockchains, cloud, availability",7,2016.833,-1_financial_city_iot_smart city
0,"iot, iot security, blockchains, roles, evaluates",1,2016.833,0_iot_devices_things_iot devices
1,"discussion, bitcoin, cryptocurrency, cryptocurrencies, kind",1,2016.833,1_bitcoin_cryptocurrency_cryptocurrencie...
11,"egovernment, china, government services, application blockchain technology, application blockchain",2,2016.833,11_egovernment_open_citizens_governance
13,"cities, city, urban, capability, smart cities",1,2016.833,13_cities_urban_smart cities_city
15,"identity, digital identity, world, commercial, change",2,2016.833,15_identity_identity management_digital ...
16,"data exchange, exchange, markets, big, datasets",1,2016.833,16_big_big data_trading_data sharing
-1,"financial, legal, ledger, eg, governance",28,2017.75,-1_financial_city_iot_smart city
0,"iot, devices, iot devices, things, city",12,2017.75,0_iot_devices_things_iot devices
1,"bitcoin, growing, cryptocurrencies, analyzing, cryptocurrency",7,2017.75,1_bitcoin_cryptocurrency_cryptocurrencie...
2,"medical, patients, records, medical records, drug",5,2017.75,2_health_healthcare_medical_patients
3,"recycling, laws, collection, world, throughout",1,2017.75,3_waste_recycling_waste management_green
4,"food, consumers, traceability, supply, supply chain",3,2017.75,4_food_supply_supply chain_traceability
6,"voting, evoting, voter, peer, election",4,2017.75,6_voting_evoting_election_voter
7,"energy, power, market, agents, prosumers",2,2017.75,7_energy_trading_power_energy trading
9,"urban, cities, city, smart city, poor",5,2017.75,9_cities_city_smart city_smart cities
10,"personal data, traffic, personal, most important, describe",1,2017.75,10_vehicles_parking_traffic_vehicle
11,"egovernment, open, governance, actions, activities",2,2017.75,11_egovernment_open_citizens_governance
12,"land, property, land records, records, corruption",2,2017.75,12_land_registration_property_land regis...
13,"air, pollution, quality, part, big data",1,2017.75,13_cities_urban_smart cities_city
14,"threat, fraud, blockchain networks, networks, detect",2,2017.75,14_cybersecurity_cyber_threats_threat
15,"identity, fake, techniques, identity management, real",2,2017.75,15_identity_identity management_digital ...
16,"mobility, big data, big, participants, their data",1,2017.75,16_big_big data_trading_data sharing
19,"education, credentials, academic, cryptocurrencies, educational",1,2017.75,19_education_students_higher_academic
22,"funds, prototype, project, corruption, due",1,2017.75,22_funds_corruption_tax_prototype
23,"ddos, algorithms, consensus, day, consensus algorithms",2,2017.75,23_consensus_algorithms_consensus algori...
-1,"industry, iot, official, activity, city",46,2018.667,-1_financial_city_iot_smart city
0,"iot, devices, city, iot devices, things",17,2018.667,0_iot_devices_things_iot devices
1,"bitcoin, economy, cryptocurrencies, token, financial",15,2018.667,1_bitcoin_cryptocurrency_cryptocurrencie...
2,"medical, patients, health, care, dapp",3,2018.667,2_health_healthcare_medical_patients
3,"waste, water, waste management, tokens, modeling",2,2018.667,3_waste_recycling_waste management_green
4,"food, supply, supply chain, food supply, production",7,2018.667,4_food_supply_supply chain_traceability
5,"adoption, blockchain adoption, factors, organizational, findings",5,2018.667,5_adoption_blockchain adoption_factors_b...
6,"voting, votes, evoting, block, election",4,2018.667,6_voting_evoting_election_voter
7,"energy, evs, trading, energy trading, ev",5,2018.667,7_energy_trading_power_energy trading
9,"cities, smart city, city, smart cities, urban",4,2018.667,9_cities_city_smart city_smart cities
10,"vehicles, parking, autonomous, vehicle, traffic",5,2018.667,10_vehicles_parking_traffic_vehicle
11,"egovernment, information sharing, citizen, citizens, standards",4,2018.667,11_egovernment_open_citizens_governance
13,"ai, planning, city, cities, ethical",3,2018.667,13_cities_urban_smart cities_city
14,"cybersecurity, attacks, financial, cryptocurrency, features",4,2018.667,14_cybersecurity_cyber_threats_threat
