Title,Publication Year,Topic,Topic_Name,Topic_Probability,Abstract Note,DOI,Author
The Application of Blockchain Technology in E-Government in China,2017,0,Topic_0_security_iot_city,1.0,"The purpose of this article is to discuss the application of blockchain technology in e-government, particularly in the Chinese context. Chancheng District, part of Foshan City in Guangdong Province, China, has undertaken a project called ""The Comprehensive Experimental Area of Big Data in Guangdong Province"" since 2016. Promoting the application of blockchain technology in e-government is an essential part of this undertaking, which is the first use of blockchain in government in China. Taking Chancheng's project as a case study, this article analyzes the framework, difficulties and challenges of applying blockchain to e-government at present, and discusses how blockchain technology can contribute to the development of e-government and public services in China. This article considers the practical realities in China and discusses the application of blockchain technology in Chinese e-government, finding that blockchain technology can bring the following benefits: (1) improvements in the quality and quantity of government services, (2) greater transparency and accessibility of government information, (3) development of information-sharing across different organizations, and (4) assistance in building an individual credit system in China. However, information security, cost and reliability are still major problems in application. Thus, establishing a general application platform of blockchain technology and developing management standards are crucial for promoting and applying blockchain in e-government. Blockchain provides an effective way of making government services more efficient, but standardizing the management system, processes and responsibility for the application is necessary for its further promotion. This article, by providing an analysis of the practice of blockchain in e-government in China, could serve as a foundation for further practical work and theoretical research in government services.",10.1109/ICCCN.2017.8038519,H. Hou
Blockchain Technologies in e-Government Services: A Literature Review,2022,0,Topic_0_security_iot_city,0.9727658465565081,"The efficiency of blockchain technologies in managing transactions using distributed ledgers provides new age of government services. This enhances citizen-government transparency to establish public-sector trust by preventing fraud. However, using and adopting blockchain in e-Government context was insufficiently explored in previously published literatures. This paper systematically reviews relevant works to illustrate blockchain issues, challenges, while detecting the new directions for future research of using blockchain applications in e-Government. Discussed literatures explained that adopting blockchain applications to build e-Government services still has obvious lack in empirical evidence. Predominantly, major challenges facing blockchain adoption are summarized in scalability, flexibility and security aspects. organizationally, acceptability issues in blockchain and demanding new models of e-government are illustrated as major obstacles against the adoption. Furthermore, the lack in legislations and helping regulatory represents the major environmental obstacles against the adoption.",10.1109/ICOCO56118.2022.10031634,S. Abdullah; A. D. M. A. Alwan; Y. Y. Jusoh
Research on Strong Supervision Algorithm Model Based on Blockchain in E-government,2020,0,Topic_0_security_iot_city,1.0,"In recent years, the research and application of blockchain applied in e-government has been increasing. The characteristics of blockchain, such as non-tamper, verifiable and inspirable, have been well applied in confirming the rights, accountability, and assessment of government data resources, and other unresolved problems over the years. Well, the decentralized feature is naturally inconsistent with the strong central feature of the government so that the application of common blockchain technology in e-government cannot support the government regulatory mechanism effectively. To solve this problem, this paper proposes a strong supervision model of blockchain based on the Threshold Ring Signature algorithm (TRS). Further experiments show that the process and results of signature voting by using this model. Compared with the common blockchain, the strong supervision model can control the error rate of the chain information and increase the flexibility of blockchain so as to enhance the integration application of blockchain and e-government.",10.1109/ITOEC49072.2020.9141657,S. Lin; J. Li; W. Liang
Feasibility Analysis of E-Government Application Based on Blockchain Technology,2022,0,Topic_0_security_iot_city,1.0,"The application of blockchain technology is no longer limited to cryptocurrencies. The decentralization, non-tampering, asymmetric encryption, traceability and other characteristics of blockchain technology just meet the needs of digital government affairs for data circulation security and credibility, and build a multi-party trust network through the consensus mechanism to further realize The deep integration of blockchain and government affairs optimizes government business processes, making government affairs open to the sun, transparent and credible. This paper analyzes the pilot project of blockchain technology cooperation between Chengdu M Information Technology Co., Ltd. and the Kyrgyz Republic in e-government, and discusses its feasibility in the application of Kyrgyzstan's e-government.",10.1109/AIoTCs58181.2022.00049,F. Wang; J. Wang
E-government System Based on Blockchain,2023,0,Topic_0_security_iot_city,1.0,"With the advancement of digitalization and intelligence, the government affairs system is experiencing significant transformations. The E-government system, which is founded on blockchain technology, is a novel government service mode that offers numerous advantages, such as enhanced data security, facilitated information sharing, reinforced system stability, and improved system performance. Consequently, this system presents a fresh solution for fostering innovation and development within government services. By examining and evaluating the fundamental framework and algorithm optimization of the blockchain-based E-government affairs system, this paper concludes that the system can successfully achieve the objectives of data sharing and protection, business collaboration and automation, intelligent and compliant governance. Consequently, it can effectively enhance the efficiency and credibility of government services.",10.1109/DSInS60115.2023.10455503,J. Guo; Y. Bai; S. Sun; F. Liu; J. Yang
Performance-based Software Architecture Design and Blockchain as a Service for Peruvian E-government,2021,0,Topic_0_security_iot_city,1.0,"This paper demonstrates the software architecture design and implementation of real-time processing based on a regulatory contribution system, Blockchain-as-a-Service platform, and financial transaction platform. Attribute-driven design was used to integrate affidavits and payment transactions as well as technological platforms using architectural patterns and tactics. The results show proper integration and a robust architecture without jeopardizing time response and while supporting quality attributes and maintaining interoperability using an enterprise service bus. A case study of an e-government implementation project for an environmental agency is used as a reference.",10.1109/ICSESS52187.2021.9522149,F. M. Santos López; J. M. Portella Delgado; E. G. Santos De la Cruz; E. L. Cáceres
Blockchain-based e-Government: Exploring Stakeholders Perspectives and Expectations,2022,0,Topic_0_security_iot_city,0.9159351131055832,"Blockchain, as a rapidly expanding area of practice and study, has drawn players from a wide range of backgrounds. The goal of this study is to demonstrate how various stakeholders and their various perspectives on blockchain-based e-Government systems may be studied in a given situation. Using Indonesia as an example of a prospective blockchain-based e-Government system user, stakeholder analysis is used to determine and classify stakeholder categories based on their relative power and interest. A literature analysis identifies four distinct viewpoints on blockchain-based e-Government systems: bureaucratic, political, technological, and economic. This demonstrates the dominance of bureaucratic and political perspectives over the other two, as well as the presence of a politico-economic viewpoint not discovered in the previous existing literature. Overall, this study suggests that stakeholder analysis and perspective analysis are feasible approaches for Blockchain-based e-Government development that add value by revealing crucial actors’ names, positions of authority, motivations, and worldviews. They provide the foundational knowledge needed for both academics and practitioners to understand the many interpretations of Blockchain-based e-Government in each case.",10.1109/ELTICOM57747.2022.10038167,F. R. Batubara; S. Efendi; M. K. M. Nasution; Fahmi; P. Sihombing
A Secure and Privacy-Preserving E-Government Framework Using Blockchain and Artificial Immunity,2023,0,Topic_0_security_iot_city,0.9388310486202114,"Electronic Government (e-Government) systems constantly provide greater services to people, businesses, organisations, and societies by offering more information, opportunities, and platforms with the support of advances in information and communications technologies. This usually results in increased system complexity and sensitivity, necessitating stricter security and privacy-protection measures. The majority of the existing e-Government systems are centralised, making them vulnerable to privacy and security threats, in addition to suffering from a single point of failure. This study proposes a decentralised e-Government framework with integrated threat detection features to address the aforementioned challenges. In particular, the privacy and security of the proposed e-Government system are realised by the encryption, validation, and immutable mechanisms provided by Blockchain. The insider and external threats associated with blockchain transactions are minimised by the employment of an artificial immune system, which effectively protects the integrity of the Blockchain. The proposed e-Government system was validated and evaluated by using the framework of Ethereum Visualisations of Interactive, Blockchain, Extended Simulations (i.e. eVIBES simulator) with two publicly available datasets. The experimental results show the efficacy of the proposed framework in that it can mitigate insider and external threats in e-Government systems whilst simultaneously preserving the privacy of information.",10.1109/ACCESS.2023.3239814,N. Elisa; L. Yang; F. Chao; N. Naik; T. Boongoen
Applications of Blockchain in E-government,2022,0,Topic_0_security_iot_city,1.0,"Since its inception in 2008, blockchain technology continues to gain prominence and impact. Beyond initial applications in digital currency, token systems, and smart contracts, blockchains have gained use in many varied fields including health care records, education, and food suppy chains. Among the most promising of these applications is e-government. Distributed secure digital ledgers with peer-to-peer architecture implemented on blockchain promise to address scalability, trust, cybersecurity, interoperability, and performance issues that often plague electronic government initiatives. This work is aimed at exploring applications of blockchain in the e-government domain. We provide an overview of the advantages and obstacles of blockchain e-government implementation. Characteristic use cases, including e-voting, finance, and energy markets are explored. By analyzing existing literature, we determine that energy utilities, identity management, transparency, and finance/tax services are major research areas in blockchain-based e-government. General process workflows of primary applications of blockchain are described. This study lays the groundwork for pursuing a common framework capable of integrating these services.",10.1109/ISEEIE55684.2022.00035,A. Phadke; F. A. Medrano; S. Ustymenko
Research on Government Information Sharing Model Using Blockchain Technology,2019,0,Topic_0_security_iot_city,1.0,"Research Purpose: The distributed, traceable and security of blockchain technology are applicable to the construction of new government information resource models, which could eliminate the barn effect and trust in government information sharing, as well as promoting the transformation of government affairs from management to service, it is also of great significance to the sharing of government information and construction of service-oriented e-government. Propose Methods: By analyzing the current problems of government information sharing, combined with literature research, this paper proposes the theoretical framework and advantages of blockchain technology applied to government information management and sharing, expounds the blockchain-based solution, it also constructs a government information sharing model based on blockchain, and gives implementation strategies at the technical and management levels. Results and Conclusion: The government information sharing model based on the blockchain solution and the transparency of government information can be used as a research framework for information interaction analysis between the government and users. It can also promote the construction and development of information sharing for Chinese government, as well as providing unified information sharing solution at the departmental and regional levels for e-government.",10.1109/ITME.2019.00166,Y. Zhang; S. Deng; Y. Zhang; J. Kong
"The Challenges and Opportunities in Adopting AI, IoT and Blockchain Technology in E-Government: A Systematic Literature Review",2022,0,Topic_0_security_iot_city,0.791053997799225,"Over the past decades, governments around the world are implementing a variety of digital solutions in order to enhance the effectiveness, efficiency, and transparency of public services. By using modern information and communication technologies (ICT), citizens are provided with an easier, faster, and more secure way of accessing different types of data. Previous studies on e-government have given important insights into the differences between traditional government systems and digital, e-government. The research was conducted by the systematic literature review guidelines by Kitchenham for papers published between 2016 and 2021 and aims to identify main technologies that are adequate to be used in the context of e-government, by presenting key challenges, as well as opportunities and possible risks of adopting such solutions in public sector services. The results obtained suggest that pairing governance with modern information systems, such as artificial intelligence (AI), internet of things (IoT) and blockchain technology, if used properly, can contribute to achieving a higher level of quality of public services and encouragement of citizens' trust and further political activity. Therefore, the present study concluded that there is a significant dependency between a successful e-government implementation and the country's established legal foundations, available technical infrastructures, perceived public trust, as well as social and economical conditions.",10.1109/CIEES55704.2022.9990833,A. Ivić; A. Milićević; D. Krstić; N. Kozma; S. Havzi
