Title,Publication Year,Author,DOI,Publication Title,duplicate_reason
Table of contents,2016,,10.1109/ICITBS.2016.8,"2016 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",Similar Title
Table of contents,2016,,10.1109/ICBDSC.2016.7460266,2016 3rd MEC International Conference on Big Data and Smart City (ICBDSC),Similar Title
[Title page i],2016,,10.1109/BigDataService.2016.1,2016 IEEE Second International Conference on Big Data Computing Service and Applications (BigDataService),Similar Title
Table of contents,2016,,10.1109/ICACCE.2016.8073707,2016 International Conference on Advances in Computing and Communication Engineering (ICACCE),Similar Title
Table of content,2017,,10.1109/ISNCC.2017.8072040,"2017 International Symposium on Networks, Computers and Communications (ISNCC)",Similar Title
Table of contents,2017,,10.1109/ES.2017.4,2017 5th International Conference on Enterprise Systems (ES),Similar Title
Table of contents,2017,,10.1109/SMARTCOMP.2017.7946957,2017 IEEE International Conference on Smart Computing (SMARTCOMP),Similar Title
[Front cover],2017,,10.1109/STC-CSIT.2017.8098852,2017 12th International Scientific and Technical Conference on Computer Sciences and Information Technologies (CSIT),Similar Title
[Title page i],2015,,10.1109/SOCA.2015.1,2015 IEEE 8th International Conference on Service-Oriented Computing and Applications (SOCA),Similar Title
[Front cover],2016,,10.1109/ICTBIG.2016.7892631,2016 International Conference on ICT in Business Industry & Government (ICTBIG),Similar Title
[Title page i],2016,,10.1109/ICDCSW.2016.1,2016 IEEE 36th International Conference on Distributed Computing Systems Workshops (ICDCSW),Similar Title
[Title page i],2016,,10.1109/HICSS.2016.1,2016 49th Hawaii International Conference on System Sciences (HICSS),Similar Title
[Front cover],2017,,10.1109/BigDataService.2017.59,2017 IEEE Third International Conference on Big Data Computing Service and Applications (BigDataService),Similar Title
Table of contents,2016,,10.1109/ISC2.2016.7580729,2016 IEEE International Smart Cities Conference (ISC2),Similar Title
[Copyright notice],2016,,10.1109/IACS.2016.7476055,2016 7th International Conference on Information and Communication Systems (ICICS),Similar Title
Table of contents,2017,,10.1109/ICIMTech.2017.8273499,2017 International Conference on Information Management and Technology (ICIMTech),Similar Title
Table of contents,2017,,10.1109/IACS.2017.7921934,2017 8th International Conference on Information and Communication Systems (ICICS),Similar Title
[Title page i],2015,,10.1109/CCBD.2015.1,2015 International Conference on Cloud Computing and Big Data (CCBD),Similar Title
[Title page i],2016,,10.1109/BDCloud-SocialCom-SustainCom.2016.1,"2016 IEEE International Conferences on Big Data and Cloud Computing (BDCloud), Social Computing and Networking (SocialCom), Sustainable Computing and Communications (SustainCom) (BDCloud-SocialCom-SustainCom)",Similar Title
[Title page],2016,,10.1109/ICITSI.2016.7858181,2016 International Conference on Information Technology Systems and Innovation (ICITSI),Similar Title
Urban Data Management using Cloud Computing and IoT,2023,M. Z. Hasan; M. Z. Hussain; A. Mughees; M. A. Javaid; M. Noor; S. Nosheen; Z. Mubarak; S. H. Chuhan; M. Mustafa,10.1109/CATS58046.2023.10424408,2023 Computer Applications & Technological Solutions (CATS),Similar Title
Retracted: ICT Enabling Technologies for Smart Cities,2020,D. Van Dinh; B. -N. Yoon; H. N. Le; U. Q. Nguyen; K. D. Phan; L. D. Pham,10.23919/ICACT48636.2020.9061541,2020 22nd International Conference on Advanced Communication Technology (ICACT),Similar Title
A Novel Approach for Parallelized Clustering Model by Using Hadoop MapReduce Framework,2022,M. C; C. H,10.1109/ICWITE57052.2022.10176257,"2022 IEEE International Conference for Women in Innovation, Technology & Entrepreneurship (ICWITE)",Similar Title
ICT enabling technologies for smart cities,2018,D. Van Dinh; B. -N. Yoon; H. N. Le; U. Q. Nguyen; K. Dang Phan; L. Dinh Pham,10.23919/ICACT.2018.8323849,2018 20th International Conference on Advanced Communication Technology (ICACT),Similar Title
Framework for Intelligent Smart City Deployment via Artificial Intelligence Software Networking,2022,P. William; A. Shrivastava; H. Chauhan; P. Nagpal; V. K. T. N; P. Singh,10.1109/ICIEM54221.2022.9853119,2022 3rd International Conference on Intelligent Engineering and Management (ICIEM),Similar Title
Big Data Analytics in loT Challenges and Opportunities,2024,S. Kirubakaran; R. Vidhya; V. K. Prlya; S. D; S. Dhotre; N. A. Balaji,10.1109/ICONSTEM60960.2024.10568632,2024 Ninth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),Similar Title
Retracted: Application of Internet of Things and Big Data towards a Smart City,2018,P. Yadav; S. Vishwakarma,10.1109/IoT-SIU.2018.8519920,2018 3rd International Conference On Internet of Things: Smart Innovation and Usages (IoT-SIU),Similar Title
