Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
EA2ME2K3,conferencePaper,2019,N. Lopes; H. R. Rao; S. A. McKenna; S. Yang; E. Estevez; M. Nielsen,Pannel: Digital Transformation Impact on Society,2019 Sixth International Conference on eDemocracy & eGovernment (ICEDEG),2573-1998,,10.1109/ICEDEG.2019.8734405,,"In this panel, we are going to discuss the impact of digital transformation will have on society. Digital technologies are rapidly and profoundly changing the world in promising and threatening ways. Technologies such as Big data, artificial intelligence, machine learning, blockchain, 3D promise to have a profoundly disruptive effect on the industry, business models, governance models and on the way we interact with each other in society. These unprecedented speed, scale and scope of change can provoke inequalities favoring world-s richest people become wealthier than ever and a social shock where people lose their old references and competences. Which influence the globalization, circular economy, sharing economy and climate change will have on this digital transformation - How they will shape it? (1) Left this transformation unmanaged, the technologies will shape us and in the age of artificial intelligence and biotechnologies, this can be very dangerous - How we can counteract it? (2) Norms and rules are needed on different domains and levels, strategies to respond to technologies dark side and risks, leaders must be more conscious of their acts and consequences on the environment and social stability - Can these measures help to achieve sustainable development? (3) The changes provoked by this digital transformation will affect governments, industry, and society as a whole - How governments shall design their e-Government and Smart Cities strategies to be better prepared? (4) How industry shall design its Industry 4.0 strategy to be better prepared? (5)",2019-04-24,2025-10-16 11:40:08,2025-10-16 11:40:08,,19-21,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2019 Sixth International Conference on eDemocracy & eGovernment (ICEDEG),,,,Computer science; Electronic government; Information systems; Internet of Things; Smart cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 Sixth International Conference on eDemocracy & eGovernment (ICEDEG),,,,,,,,,,,,,,,
862TWBD8,conferencePaper,2015,,[Copyright notice],2015 34th Chinese Control Conference (CCC),1934-1768,,10.1109/ChiCC.2015.7261090,,"The following topics are dealt with: complex system theory; nonlinear control system; complex network; distributed parameter systems; stability and stabilization; stochastic systems; system modeling and identification; hybrid systems and DEDS; discrete-time impulsive dynamical networks; optimal control; optimization and scheduling; robust control; adaptive control and learning control; variable structure control; neural networks; fuzzy system and fuzzy control; pattern recognition; predictive control; motion control; signal processing and information fusion; Big Data analysis and compressed sampling; navigation and missile guidance; control design; intelligent robots and mechatronic systems; fault diagnosis and reliable control; communication network systems; networked control systems; multiagent systems and distributed control; sensor networks and Internet of Things; energy control; automotive-vehicle systems control; data driven modeling; micro-nano and quantum systems; nature-inspired computing; transportation systems; systems biology and life systems; economy, finance, population and military systems; industrial systems and manufacturing; systems engineering theory; intelligent power system control; smart city; cloud computing; and game theory and social network.",2015-07-28,2025-10-16 11:40:08,2025-10-16 11:40:08,,1-1,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2015 34th Chinese Control Conference (CCC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 34th Chinese Control Conference (CCC),,,,,,,,,,,,,,,
8ES4WGT8,conferencePaper,2015,,[Title page i],"2015 International Conference on Intelligent Transportation, Big Data and Smart City",,,10.1109/ICITBS.2015.1,,The following topics are dealt with: intelligent transportation; Big Data; smart city; social networks; electronic commerce; recommendation method; microgrids; supply chains; cloud computing; educational computing; crops; image processing; data security; urban planning; and employment.,2015-12-19,2025-10-16 11:40:08,2025-10-16 11:40:08,,i-i,,,,,,,,,,,,,,,,,,,,"Journal Abbreviation: 2015 International Conference on Intelligent Transportation, Big Data and Smart City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015 International Conference on Intelligent Transportation, Big Data and Smart City",,,,,,,,,,,,,,,
8TN83ZTT,conferencePaper,2015,,Program,2015 IEEE Symposium on Computers and Communication (ISCC),,,10.1109/ISCC.2015.7405443,,The following topics are dealt with: smart city services; mobile sensing; smart grid; cloud-based sensing; resource management; networked security; digital forensics; smart transportation; operating system forensics; cloud service management; routing; multicast; Internet; network design; network optimization; network management; vehicular network; social networks; crowdsourcing; software-defined networking; overlay network; quality of service; quality of experience; resource management; signal processing; speech processing; image processing; video processing; fault tolerance; error recovery; sensor network; Big Data; data mining; database applications; grid computing; cluster computing; cryptography; privacy; wireless communication; cellular communication; radio physical layer; peer-to-peer computing; network reliability; optical networking; modeling and simulation; artificial intelligence; and bio-informatics.,2015-07-06,2025-10-16 11:40:08,2025-10-16 11:40:08,,1-28,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2015 IEEE Symposium on Computers and Communication (ISCC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 IEEE Symposium on Computers and Communication (ISCC),,,,,,,,,,,,,,,
CRK7N2WE,conferencePaper,2016,,Table of contents,2016 IEEE 2nd International Forum on Research and Technologies for Society and Industry Leveraging a better tomorrow (RTSI),,,10.1109/RTSI.2016.7740543,,"The following topics are dealt with: research and technologies for society and industry; adaptive computing systems; cultural heritage, smart city, and participatory process; smart emerging technologies; IoT and Big Data; and security and privacy.",2016-09-07,2025-10-16 11:40:08,2025-10-16 11:40:08,,1-12,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2016 IEEE 2nd International Forum on Research and Technologies for Society and Industry Leveraging a better tomorrow (RTSI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 IEEE 2nd International Forum on Research and Technologies for Society and Industry Leveraging a better tomorrow (RTSI),,,,,,,,,,,,,,,
AW5CUJVQ,conferencePaper,2016,,[Front cover],2016 IEEE First International Conference on Data Science in Cyberspace (DSC),,,10.1109/DSC.2016.123,,The following topics are dealt with: data science; social networks; data analysis and security; smart city; heterogeneous information network analysis; big search; data visualization; Big Data privacy; business analytics; social recommendation systems; and open source Web data.,2016-06-13,2025-10-16 11:40:08,2025-10-16 11:40:08,,C4-C4,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2016 IEEE First International Conference on Data Science in Cyberspace (DSC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 IEEE First International Conference on Data Science in Cyberspace (DSC),,,,,,,,,,,,,,,
JNDL35WC,journalArticle,2022,,Call for papers: Special issue on AI-enabled Internet of medical things for medical data analytics,Big Data Mining and Analytics,,2097-406X,10.26599/BDMA.2022.9020001,,"In the modern era of Big Data, there is always an exponential growth in the amount of data generated and stored in various fields like education, energy, environment, healthcare, fraud, detection, and traffic. At the same time, there is a significant paradigm shift in business and society across the world due to huge growth in various fields like artificial intelligence, machine learning, deep learning and data analytics. This poses significant challenges for decision-making and creates a potential transformation in the economy, government, and industries. Artificial Intelligence tools, techniques, technologies and big data improve the predictive power of the systems created, which enables the government, public and private sectors to discover new patterns and trends. It improves public values like accountability, safety, security, and transparency for better decision-making, policies, and governance. They also have numerous capabilities to perform complex tasks that human skills cannot do. They could be used to collect, organize and analyze, large, varied data sets to discover patterns and trends. It addresses several problems related to the development of the economy by identifying new sources of revenue, expanding the customer base for business, product reviews and promotion. It helps to predict and prevent diseases, predict climatic variations, and provide energy solutions. This special issue aims to call for high-quality papers covering the latest data analytic concepts and technologies of big data and artificial intelligence. This special issue serves as a forum for researchers across the globe to discuss their works and recent advances in this field. The best papers from Artificial intelligence and Big Data Analytics in Product, Finance, Health and Environment are invited. The best high-quality papers will be selected based on the innovativeness and relevance of the theme.",2022-06,2025-10-16 11:40:08,2025-10-16 11:40:08,,162-162,,2,5,,Big Data Mining and Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7H3PRIHA,conferencePaper,2017,,Contents,2017 Twelfth International Conference on Digital Information Management (ICDIM),,,10.1109/ICDIM.2017.8244699,,The following topics are dealt with: artificial intelligence; future Big Data; e-learning; e-government; mobile network security; access control; mobile data management; natural language processing; information retrieval; data mining; data warehousing; knowledge management; information visualization; Web Services; Web metrics; and image processing.,2017-09-12,2025-10-16 11:40:08,2025-10-16 11:40:08,,1-4,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2017 Twelfth International Conference on Digital Information Management (ICDIM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 Twelfth International Conference on Digital Information Management (ICDIM),,,,,,,,,,,,,,,
9I528GA3,conferencePaper,2018,,Call for Paper 3rd 2019 EIConCIT,2018 2nd East Indonesia Conference on Computer and Information Technology (EIConCIT),,,10.1109/EIConCIT.2018.8878580,,"The 3rd 2019 East International Conference on Computer and Information Technology is hosted by Universitas YAPIS Papua and is jointly organized with Universitas Muslim Indonesia, Makassar and Universitas Mulawarman, Universitas Negeri Malang, Universitas Hasanuddin, Institut Teknologi Kalimantan, Universitas UDAYANA, Universitas Negeri Gorontalo, Universitas Cokroaminoto Palopo, Universitas Andi Djemma, Politeknik Negeri Samarinda, Politeknik Negeri Bali, STMIK Bumigora and Politeknik Sains dan Teknologi Wiratama Maluku Utara. The conference, taking the following theme: ""Smart technology for the world"", is aimed at keeping abreast of the current development as well as providing an engaging forum for participants to share knowledge and expertise in related issues. The scope topics include, but are not limited to Cloud & Grid Computing, Artificial Intelligence, Mobile Computing, Decision Support System, Learning Management System, IT for Education, Software Engineering, Semantic Web, E-Government, E-Learning, E-Business, Human Computer Interaction, Big Data Processing, Data Mining, Machine Learning, IT for Industry, IT for Society, Natural Language Processing, Modelling and Simulation, Soft Computing, Network & Data Communication, and Cryptography.",2018-11-06,2025-10-16 11:40:08,2025-10-16 11:40:08,,i-i,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2018 2nd East Indonesia Conference on Computer and Information Technology (EIConCIT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 2nd East Indonesia Conference on Computer and Information Technology (EIConCIT),,,,,,,,,,,,,,,
7N88BZJ4,conferencePaper,2021,S. Singh; T. Chauhan; V. Wahi; P. Meel,Mining Tourists’ Opinions on Popular Indian Tourism Hotspots using Sentiment Analysis and Topic Modeling,2021 5th International Conference on Computing Methodologies and Communication (ICCMC),,,10.1109/ICCMC51019.2021.9418341,,"User-generated content is an exploration area of interest with regards to web 2.0. The development of social networks and community-based websites have changed the manner in which individuals utilize the Internet. It makes individuals no longer restricted to pursuing the data given by professional channels, but to making individual profiles, producing personalized content, or sharing photographs, recordings, blogs, and so forth. This sort of data comprises the current online user-generated content. With the continuous development of the travel industry, the quantity of online travel review websites has also increased. Indian Tourism is popular for its rich culture and diversity and hence Government of India has increased the number of new tourist destinations to expand their popularity and presence. Researchers have proposed various studies to increase tourism network using Big Data. Techniques of Sentiment Analysis along with Topic Modelling have been used to unearth patterns and observations from online reviews. This paper aims to mine reviews of 10 popular travel destinations in India. Using sentiment analysis technique, the proposed research work has explored the polarity of various reviews extracted from TripAdvisor. Data collection was done by using the web framework Scrapy to acquire more than 10,000 reviews for these destinations. This paper also analyzes the result of doing Topic Modeling on reviews for individual destinations. Results conclude that Joy is the most common emotion in all the visitor’s experiences. Indian tourism decision quality can be improved by the help of the results from this study.",2021-04-08,2025-10-16 11:40:17,2025-10-16 11:40:17,,1306-1313,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2021 5th International Conference on Computing Methodologies and Communication (ICCMC),,,,AFINN lexicon; Analytical models; Blogs; Indian Tourist Destinations; Industries; Sentiment analysis; Sentiment Analysis; Social networking (online); Topic Modeling; Unsupervised Learning; User-generated content; Web 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 5th International Conference on Computing Methodologies and Communication (ICCMC),,,,,,,,,,,,,,,
